Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Barcode,Image Src,Gift Card,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status
greater-good-smooth-pulp-daddy,Greater Good Smooth Imperial Hazy Pulp Daddy,ATLAS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"IPA, US",TRUE,Size,4pk 16oz cans,PBA2680S,0,17.99,'680243994795,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/ggpd.jpg?v=1679014245,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/ggpd.jpg?v=1679014245,lb,active
exhibit-a-briefcase-porter,Exhibit A Briefcase Porter,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, PORTER, US",TRUE,Size,4pk 16oz cans,PBA2678S,0,14.99,'709311884773,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exapor.png?v=1679013464,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exapor.png?v=1679013464,lb,active
naked-malt-blended-malt-scotch-whiskey,Naked Malt Blended Malt Scotch Whiskey,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKEY",TRUE,Size,750ml,PWM2677S,7,34.99,'812066022021,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/nmsw.png?v=1679012898,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/nmsw.png?v=1679012898,lb,active
keepers-heart-irish-bourbon-whiskey,Keeper's Heart Irish & Bourbon Whiskey,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"IRELAND, IRISH WHISKEY, WHISKEY",TRUE,Size,750ml,PWM2676S,5,39.99,'850030494108,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/khib.png?v=1679012330,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/khib.png?v=1679012330,lb,active
keepers-heart-irish-american-whiskey,Keeper's Heart 110 Proof Irish & American Whiskey,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"IRELAND, IRISH WHISKEY, WHISKEY",TRUE,Size,750ml,PWM2675S,6,44.99,'850030494382,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/kh110.png?v=1679012206,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/kh110.png?v=1679012206,lb,active
keepers-heart-10-year-old-single-malt-irish-whiskey,Keeper's Heart 10 Year Old Single Malt Irish Whiskey,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"IRELAND, IRISH WHISKEY, WHISKEY",TRUE,Size,750ml,PWM2673S,6,94.99,'850030494023,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/keeph10.png?v=1679011836,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/keeph10.png?v=1679011836,lb,active
buchanans-pineapple-scotch-whisky,Buchanan's Pineapple Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKEY",TRUE,Size,750ml,PWM2672S,1,39.99,'088076187245,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/bp.png?v=1679010424,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/bp.png?v=1679010424,lb,active
lord-hobo-free-bird,Lord Hobo Free Bird,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 12oz cans,PBA2671S,0,7.49,'856544007216,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lordhobofreebird_580x_df32c22e-386d-4b3a-abaa-27fffd6ecca7.png?v=1678972832,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/lordhobofreebird_580x_df32c22e-386d-4b3a-abaa-27fffd6ecca7.png?v=1678972832,lb,active
fabrizia-italian-style-lemonade,Fabrizia Italian Style Lemonade,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"COCKTAIL, US",TRUE,Size,4pk 12oz cans,PLA2670S,1,10.49,'686091737942,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fil.png?v=1678971696,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fil.png?v=1678971696,lb,active
fabrizia-italian-breeze,Fabrizia Italian Breeze,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"COCKTAIL, US",TRUE,Size,4pk 12oz cans,PLA2668S,3,10.49,'686091737966,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fitb.png?v=1678969916,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fitb.png?v=1678969916,lb,active
